,팀명,이름,포지션,결과,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,디그_성공률,세트_성공률,리시브_정확률,블로킹_성공률,시즌
0,KB손해보험,강영준,R,0,10.444444444444445,18.666666666666668,8.777777777777779,2.2222222222222223,2.0,48.56111111111111,19.61111111111111,6.222222222222222,2.111111111111111,0.7777777777777778,0.6666666666666666,36.66222222222222,17.952222222222222,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,9.258888888888889,0.0,0.0,0.0,0.0,0.0,0.0,7.888888888888889,4.111111111111111,0.6666666666666666,1.1111111111111112,55.00555555555556,31.989999999999995,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,2.5555555555555554,0.6666666666666666,0.2222222222222222,56.36888888888889,17.939999999999998,8.11111111111111,1.1111111111111112,2.888888888888889,0.3222222222222222,9.784444444444444,3.4444444444444446,2.2222222222222223,1.2222222222222223,0.0,0.6555555555555556,8.046666666666665,1.5555555555555556,0.1111111111111111,0.0,0.027777777777777776,1.6855555555555555,1.2222222222222223,0.3333333333333333,0.0,4.762222222222222,1.9099999999999997,3.3333333333333335,0.5555555555555556,0.4444444444444444,2.111111111111111,0.0,0.1511111111111111,7.834444444444445,0.3333333333333333,0.0,4.888888888888889,53.17460317460317,6.25,10.714285714285714,14.814814814814813,17-18
1,KB손해보험,강영준,R,1,11.666666666666666,19.666666666666668,9.666666666666666,3.1666666666666665,2.1666666666666665,49.028333333333336,18.015,7.666666666666667,3.0,1.8333333333333333,0.8333333333333334,42.01833333333334,15.823333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,4.0,0.8333333333333334,1.0,50.89333333333334,31.155,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,2.6666666666666665,0.5,0.3333333333333333,67.30166666666666,17.713333333333335,10.833333333333334,1.0,3.0,0.26833333333333337,10.71,5.666666666666667,4.333333333333333,1.3333333333333333,0.0,1.1783333333333335,10.99,1.5,0.16666666666666666,0.0,0.055,1.25,2.8333333333333335,0.8333333333333334,0.16666666666666666,15.555,3.605,5.833333333333333,1.0,0.6666666666666666,2.6666666666666665,0.16666666666666666,0.32,9.886666666666667,0.3333333333333333,0.0,5.333333333333333,72.68518518518518,25.0,22.666666666666664,30.873015873015873,17-18
2,KB손해보험,곽동혁,Li,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.8125,2.1875,0.0,1.69375,19.803125,3.875,1.125,0.0625,0.26,3.75875,15.375,6.6875,0.9375,15.07875,19.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,74.13444194694195,26.741071428571427,42.010111960479605,0.0,17-18
3,KB손해보험,곽동혁,Li,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.5,1.5,0.0,2.052222222222222,20.077222222222222,4.388888888888889,1.6111111111111112,0.05555555555555555,0.4316666666666667,4.315,17.166666666666668,8.0,1.0,19.753888888888888,23.83833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,85.31406093906094,39.2063492063492,46.3909378041215,0.0,17-18
4,KB손해보험,김진만,L,0,9.0,14.0,8.0,0.0,1.0,57.14,19.44,5.0,4.0,0.0,0.0,80.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,45.45,10.0,0.0,0.0,0.0,16.13,5.0,4.0,1.0,0.0,1.33,13.16,4.0,1.0,1.0,0.33,4.82,7.0,2.0,2.0,0.0,11.11,4.0,1.0,1.0,1.0,0.0,0.33,11.76,0.0,0.0,2.0,80.0,25.0,28.57142857142857,25.0,17-18
5,KB손해보험,김홍정,C,0,1.3333333333333333,2.3333333333333335,1.0,0.0,0.3333333333333333,66.66666666666667,1.99,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.0,0.0,0.0,66.66666666666667,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,0.0,0.0,0.0,6.776666666666666,1.0,0.6666666666666666,0.3333333333333333,0.0,0.22,1.6233333333333333,1.0,0.0,0.0,0.0,0.8366666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.4066666666666667,4.666666666666667,0.3333333333333333,1.6666666666666667,2.6666666666666665,0.0,0.11,8.226666666666667,1.6666666666666667,0.0,0.3333333333333333,66.66666666666667,0.0,0.0,5.5555555555555545,17-18
6,KB손해보험,김홍정,C,1,2.0,1.5,1.0,0.5,0.0,33.335,2.085,0.5,0.0,0.5,0.0,0.0,1.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,0.33,13.73,0.5,0.5,0.0,0.0,0.165,1.0,1.5,0.0,0.5,0.0,1.975,0.0,0.0,0.0,0.0,0.0,6.5,0.0,2.5,3.5,0.0,0.0,16.28,2.5,0.0,1.5,100.0,0.0,0.0,0.0,17-18
7,KB손해보험,박광희,L,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0.25,0.375,0.05625,5.62375,0.625,0.5,0.125,0.0,0.11875,1.2025000000000001,0.125,0.0,0.0,0.0,0.0925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.375,66.66666666666667,0.0,0.0,0.0,17-18
8,KB손해보험,박광희,L,1,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.833333333333333,0.08333333333333333,0.5,0.0275,4.8025,0.3333333333333333,0.25,0.08333333333333333,0.0,0.05833333333333333,0.6375000000000001,0.16666666666666666,0.0,0.0,0.0,0.17166666666666666,0.08333333333333333,0.0,0.0,0.0,0.13916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,75.0,0.0,0.0,0.0,17-18
9,KB손해보험,백계중,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,50.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,17-18
10,KB손해보험,백계중,Li,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,5.6,1.2,0.0,1.416,12.906,3.0,1.2,0.0,0.3,2.71,9.4,5.8,0.4,17.8,11.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.29292929292929,30.95238095238095,57.59259259259259,0.0,17-18
11,KB손해보험,백계중,Li,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,2.33,15.22,5.0,2.0,0.0,0.67,6.58,3.0,1.0,1.0,0.0,6.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,33.33333333333333,0.0,17-18
12,KB손해보험,손현종,L,0,7.181818181818182,13.636363636363637,5.909090909090909,2.272727272727273,1.3636363636363635,38.20909090909091,12.94,5.545454545454546,2.272727272727273,0.8181818181818182,0.36363636363636365,33.70727272727272,13.781818181818181,0.36363636363636365,0.18181818181818182,0.0,0.0,18.181818181818183,9.014545454545454,0.0,0.0,0.0,0.0,0.0,0.0,2.727272727272727,0.9090909090909091,0.5454545454545454,0.5454545454545454,21.363636363636363,10.846363636363636,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5454545454545454,0.9090909090909091,0.45454545454545453,41.21181818181818,18.471818181818183,8.181818181818182,0.2727272727272727,1.9090909090909092,0.05909090909090909,8.683636363636364,4.181818181818182,2.6363636363636362,1.4545454545454546,0.09090909090909091,0.6136363636363636,7.712727272727273,1.1818181818181819,0.09090909090909091,0.0,0.018181818181818184,1.0763636363636364,24.363636363636363,10.363636363636363,1.5454545454545454,8.755454545454546,27.971818181818183,4.454545454545454,1.0,0.9090909090909091,2.090909090909091,0.09090909090909091,0.24727272727272728,8.953636363636363,0.36363636363636365,0.0,3.4545454545454546,73.03571428571429,8.333333333333334,43.415565915565914,21.261904761904763,17-18
13,KB손해보험,손현종,L,1,5.615384615384615,8.384615384615385,4.538461538461538,0.8461538461538461,1.1538461538461537,54.575384615384614,8.38923076923077,3.5384615384615383,1.4615384615384615,0.3076923076923077,0.6923076923076923,36.25692307692308,9.669230769230769,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.0,23.076923076923077,9.87153846153846,0.0,0.0,0.0,0.0,0.0,0.0,1.3846153846153846,1.0769230769230769,0.07692307692307693,0.15384615384615385,42.30769230769231,6.167692307692307,0.0,0.0,0.0,0.0,0.0,0.0,3.1538461538461537,1.7692307692307692,0.38461538461538464,0.3076923076923077,35.80307692307692,11.505384615384616,6.230769230769231,0.38461538461538464,1.2307692307692308,0.10230769230769231,6.457692307692308,2.4615384615384617,1.8461538461538463,0.6153846153846154,0.0,0.5038461538461538,5.3161538461538465,0.7692307692307693,0.23076923076923078,0.0,0.057692307692307696,0.7223076923076923,14.461538461538462,7.923076923076923,0.6923076923076923,10.959999999999999,19.400000000000002,2.076923076923077,0.6923076923076923,0.15384615384615385,1.0,0.15384615384615385,0.17461538461538462,4.201538461538462,0.3076923076923077,0.0,2.5384615384615383,83.78787878787878,25.0,50.575915606801,30.0,17-18
14,KB손해보험,알렉스,L,0,20.333333333333332,33.8,16.4,2.7333333333333334,2.466666666666667,47.714666666666666,33.432,15.4,5.866666666666666,1.2666666666666666,1.2666666666666666,37.164,40.769999999999996,1.6,1.0666666666666667,0.0,0.06666666666666667,45.0,42.98466666666666,0.0,0.0,0.0,0.0,0.0,0.0,8.6,5.2,0.6,0.7333333333333333,58.693333333333335,33.078,0.0,0.0,0.0,0.0,0.0,0.0,8.2,4.266666666666667,0.8666666666666667,0.4,55.48733333333333,32.67066666666667,16.533333333333335,2.6666666666666665,5.6,0.6573333333333333,18.208000000000002,8.6,6.8,1.8,0.0,1.6840000000000002,18.204,3.533333333333333,0.6666666666666666,0.13333333333333333,0.15333333333333332,3.4106666666666663,22.0,8.066666666666666,2.466666666666667,12.925999999999998,27.613333333333333,6.4,1.2666666666666666,1.4,2.066666666666667,0.7333333333333333,0.2906666666666667,13.172,0.5333333333333333,0.06666666666666667,9.0,80.34376734376734,23.0,36.051184898372384,21.041125541125542,17-18
15,KB손해보험,알렉스,L,1,27.05263157894737,41.0,22.68421052631579,2.789473684210526,3.0526315789473686,54.981578947368426,40.53368421052632,19.894736842105264,9.947368421052632,1.3157894736842106,1.5789473684210527,51.009473684210526,48.01157894736842,1.368421052631579,0.9473684210526315,0.10526315789473684,0.15789473684210525,58.771578947368425,51.804736842105264,0.0,0.0,0.0,0.0,0.0,0.0,10.210526315789474,5.631578947368421,0.7368421052631579,0.8947368421052632,54.9,42.18578947368421,0.0,0.0,0.0,0.0,0.0,0.0,9.526315789473685,6.157894736842105,0.631578947368421,0.42105263157894735,67.29736842105264,40.078421052631576,17.0,2.789473684210526,5.578947368421052,0.6926315789473684,17.942105263157895,9.368421052631579,7.315789473684211,2.0,0.05263157894736842,1.8273684210526315,18.46315789473684,2.736842105263158,0.8421052631578947,0.10526315789473684,0.21052631578947367,2.7310526315789474,19.05263157894737,7.157894736842105,1.736842105263158,15.158947368421051,26.722105263157896,7.578947368421052,1.5789473684210527,2.263157894736842,2.3684210526315788,0.3684210526315789,0.39,15.677894736842106,0.9473684210526315,0.0,9.157894736842104,79.87768079873342,35.0250626566416,37.63212859532907,19.93430546062125,17-18
16,KB손해보험,양준식,S,0,2.4285714285714284,1.1428571428571428,0.8571428571428571,0.0,0.0,71.42857142857143,1.1142857142857143,1.1428571428571428,0.8571428571428571,0.0,0.0,71.42857142857143,3.0014285714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.5714285714285714,0.7142857142857143,0.14285714285714285,9.857142857142858,3.5714285714285716,2.5714285714285716,1.0,0.0,0.6671428571428571,7.12,40.0,21.142857142857142,0.42857142857142855,5.404285714285714,39.13714285714286,0.14285714285714285,0.0,0.14285714285714285,0.0,0.1742857142857143,4.571428571428571,1.0,1.1428571428571428,1.5714285714285714,0.0,0.25,8.568571428571428,0.5714285714285714,0.0,1.1428571428571428,77.21088435374149,53.075403681872686,0.0,25.740740740740744,17-18
17,KB손해보험,양준식,S,1,0.5714285714285714,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.2857142857142857,7.142857142857143,0.8785714285714287,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.2857142857142857,7.142857142857143,2.242857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.7142857142857143,0.0,7.255714285714285,2.4285714285714284,1.4285714285714286,1.0,0.0,0.38,5.061428571428571,31.857142857142858,17.714285714285715,0.2857142857142857,4.631428571428572,30.984285714285715,0.2857142857142857,0.0,0.0,0.0,0.37714285714285717,2.857142857142857,0.42857142857142855,0.7142857142857143,1.2857142857142858,0.14285714285714285,0.10714285714285714,5.821428571428571,0.2857142857142857,0.0,1.4285714285714286,64.57142857142858,49.94396344396344,0.0,6.25,17-18
18,KB손해보험,이강원,R,0,14.5,27.083333333333332,13.083333333333334,2.5,2.1666666666666665,47.844166666666666,27.2825,9.0,3.6666666666666665,1.1666666666666667,0.6666666666666666,44.25416666666666,24.905,1.0,0.5833333333333334,0.0,0.0,34.722500000000004,29.671666666666667,0.0,0.0,0.0,0.0,0.0,0.0,10.333333333333334,4.75,0.8333333333333334,1.1666666666666667,48.00083333333333,40.65083333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.75,4.083333333333333,0.5,0.3333333333333333,55.06916666666667,29.293333333333333,10.5,1.0,2.3333333333333335,0.26333333333333336,11.455,5.416666666666667,3.5833333333333335,1.8333333333333333,0.0,0.8983333333333334,11.336666666666666,1.75,0.3333333333333333,0.08333333333333333,0.09250000000000001,1.6199999999999999,0.3333333333333333,0.0,0.16666666666666666,0.0,0.5750000000000001,5.5,0.4166666666666667,1.6666666666666667,2.5833333333333335,0.16666666666666666,0.11750000000000001,11.424999999999999,0.8333333333333334,0.0,4.75,61.89026251526251,14.814814814814813,0.0,7.8009259259259265,17-18
19,KB손해보험,이강원,R,1,14.357142857142858,25.785714285714285,12.785714285714286,2.9285714285714284,1.9285714285714286,48.29785714285714,25.960714285714285,9.571428571428571,3.7142857142857144,1.0714285714285714,0.8571428571428571,40.607142857142854,24.505,0.8571428571428571,0.7142857142857143,0.0,0.0,36.904999999999994,23.247857142857146,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,7.142857142857143,9.428571428571429,5.071428571428571,1.2142857142857142,0.6428571428571429,53.86642857142857,41.38357142857143,0.0,0.0,0.0,0.0,0.0,0.0,5.857142857142857,3.2857142857142856,0.6428571428571429,0.35714285714285715,51.62714285714286,26.350714285714286,10.428571428571429,0.7142857142857143,2.642857142857143,0.21285714285714286,11.197142857142856,5.071428571428571,3.642857142857143,1.4285714285714286,0.0,0.9728571428571428,10.6,2.2142857142857144,0.6428571428571429,0.07142857142857142,0.18071428571428574,2.192142857142857,0.07142857142857142,0.0,0.0,0.0,0.16214285714285714,5.214285714285714,0.8571428571428571,1.7142857142857142,1.6428571428571428,0.14285714285714285,0.23357142857142857,11.620000000000001,1.0714285714285714,0.0,4.785714285714286,70.52721088435375,28.2051282051282,0.0,15.399659863945576,17-18
20,KB손해보험,이선규,C,0,4.6,4.466666666666667,2.533333333333333,0.06666666666666667,0.06666666666666667,56.279333333333334,4.3,0.3333333333333333,0.2,0.0,0.0,20.0,0.9353333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.133333333333334,2.3333333333333335,0.06666666666666667,0.06666666666666667,57.13533333333333,40.90333333333333,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.26666666666666666,0.3333333333333333,0.06333333333333332,12.110666666666667,2.466666666666667,1.7333333333333334,0.7333333333333333,0.0,0.38199999999999995,4.957999999999999,1.1333333333333333,0.26666666666666666,0.13333333333333333,0.06866666666666667,1.1400000000000001,0.7333333333333333,0.6,0.0,10.110000000000001,0.836,10.133333333333333,1.8,2.2666666666666666,4.8,0.2,0.414,21.446666666666665,1.6666666666666667,0.0,0.7333333333333333,66.15384615384616,19.791666666666664,83.33333333333333,17.074777074777078,17-18
21,KB손해보험,이선규,C,1,6.222222222222222,5.833333333333333,3.6666666666666665,0.05555555555555555,0.0,60.01944444444444,5.912222222222223,1.0,0.6111111111111112,0.0,0.0,41.666666666666664,2.4027777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.833333333333333,3.0555555555555554,0.05555555555555555,0.0,59.602777777777774,44.91777777777778,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.3333333333333333,0.4444444444444444,0.08944444444444445,12.095,2.7222222222222223,2.0,0.7222222222222222,0.0,0.5105555555555555,5.547777777777778,1.8333333333333333,0.3333333333333333,0.05555555555555555,0.085,1.895,0.4444444444444444,0.16666666666666666,0.0,11.129444444444443,0.6711111111111111,10.444444444444445,2.2222222222222223,2.611111111111111,4.277777777777778,0.1111111111111111,0.5738888888888889,20.69388888888889,2.2222222222222223,0.0,0.6111111111111112,68.03921568627452,17.777777777777775,42.857142857142854,20.863065765026548,17-18
22,KB손해보험,전진용,C,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17-18
23,KB손해보험,전진용,C,1,3.0,3.0,1.6666666666666667,0.0,0.0,64.44333333333333,2.7399999999999998,0.3333333333333333,0.3333333333333333,0.0,0.0,33.333333333333336,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,1.3333333333333333,0.0,0.0,61.10999999999999,27.236666666666665,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,0.3333333333333333,1.6666666666666667,0.08333333333333333,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.39666666666666667,6.0,1.0,1.6666666666666667,3.3333333333333335,0.0,0.30333333333333334,11.463333333333333,1.0,0.0,1.6666666666666667,0.0,0.0,0.0,18.703703703703706,17-18
24,KB손해보험,최익제,S,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.25,4.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,17-18
25,KB손해보험,하현용,C,0,5.285714285714286,6.071428571428571,3.5,0.14285714285714285,0.35714285714285715,53.19857142857143,6.505714285714285,0.8571428571428571,0.35714285714285715,0.07142857142857142,0.07142857142857142,26.785714285714285,2.597142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.23785714285714285,5.142857142857143,3.142857142857143,0.07142857142857142,0.2857142857142857,58.083571428571425,53.027142857142856,0.0,0.0,0.0,0.0,0.0,0.0,10.071428571428571,0.07142857142857142,0.5714285714285714,0.014285714285714287,11.527857142857142,1.5714285714285714,1.1428571428571428,0.42857142857142855,0.0,0.3028571428571429,3.724285714285714,1.7142857142857142,0.42857142857142855,0.0,0.11857142857142858,1.7449999999999999,0.8571428571428571,0.42857142857142855,0.0,7.221428571428571,1.0571428571428572,8.785714285714286,1.7142857142857142,1.8571428571428572,3.857142857142857,0.14285714285714285,0.4571428571428572,19.125,1.2857142857142858,0.0,1.0714285714285714,78.93939393939394,29.166666666666664,40.625,18.71533228676086,17-18
26,KB손해보험,하현용,C,1,5.9375,5.0625,3.1875,0.1875,0.25,58.933125,5.0275,0.3125,0.25,0.0,0.0,25.0,0.8275,0.125,0.0625,0.0,0.0,6.25,2.97625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.625,2.875,0.1875,0.25,58.761875,42.016875,0.0,0.0,0.0,0.0,0.0,0.0,9.9375,0.5,0.6875,0.15125,10.413125,2.625,2.1875,0.4375,0.0,0.55125,5.2625,1.4375,0.3125,0.0,0.085,1.418125,0.8125,0.375,0.0,4.23125,1.0975000000000001,11.0625,2.25,2.875,4.125,0.3125,0.555,20.780625,1.125,0.0,1.25,82.5,23.666666666666664,38.09523809523809,18.041207668965022,17-18
27,KB손해보험,한기호,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,0.0,0.25,0.0,4.2025,0.75,0.75,0.0,0.0,0.23,1.6575,0.25,0.0,0.0,0.0,0.2275,0.25,0.25,0.0,0.0825,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,100.0,0.0,100.0,0.0,17-18
28,KB손해보험,한기호,Li,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,2.5,0.25,0.0,0.6875,5.3,1.25,0.25,0.0,0.0825,1.19,5.5,2.75,1.0,0.48,7.069999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.42857142857143,16.666666666666664,48.095238095238095,0.0,17-18
29,KB손해보험,한기호,Li,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.142857142857143,3.142857142857143,1.0,0.0,0.9271428571428572,9.260000000000002,1.7142857142857142,0.7142857142857143,0.0,0.22571428571428573,1.875714285714286,2.7142857142857144,0.8571428571428571,0.42857142857142855,0.19,4.317142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5952380952381,38.888888888888886,25.10822510822511,0.0,17-18
